folder,group,type,prefix,tier,item_key,new_filename,new_relative_path,estimated_old_filename,note
Amulets,Accessories,Amulet,accessory_amulet,t1,ironamulet,accessory_amulet_t1_ironamulet.png,src/assets/Items/Amulets/accessory_amulet_t1_ironamulet.png,t1_ironamulet.png,
Amulets,Accessories,Amulet,accessory_amulet,t10,alimyriad,accessory_amulet_t10_alimyriad.png,src/assets/Items/Amulets/accessory_amulet_t10_alimyriad.png,t10_alimyriad.png,
Amulets,Accessories,Amulet,accessory_amulet,t10,amulet_midas,accessory_amulet_t10_amulet_midas.png,src/assets/Items/Amulets/accessory_amulet_t10_amulet_midas.png,t10_amulet_midas.png,
Amulets,Accessories,Amulet,accessory_amulet,t10,freyja_talisman,accessory_amulet_t10_freyja_talisman.png,src/assets/Items/Amulets/accessory_amulet_t10_freyja_talisman.png,t10_freyja_talisman.png,
Amulets,Accessories,Amulet,accessory_amulet,t10,viptalisman,accessory_amulet_t10_viptalisman.png,src/assets/Items/Amulets/accessory_amulet_t10_viptalisman.png,t10_viptalisman.png,
Amulets,Accessories,Amulet,accessory_amulet,t11,brisingamen,accessory_amulet_t11_brisingamen.png,src/assets/Items/Amulets/accessory_amulet_t11_brisingamen.png,t11_brisingamen.png,
Amulets,Accessories,Amulet,accessory_amulet,t11,fellgrovetalisman,accessory_amulet_t11_fellgrovetalisman.png,src/assets/Items/Amulets/accessory_amulet_t11_fellgrovetalisman.png,t11_fellgrovetalisman.png,
Amulets,Accessories,Amulet,accessory_amulet,t11,forlornacorn,accessory_amulet_t11_forlornacorn.png,src/assets/Items/Amulets/accessory_amulet_t11_forlornacorn.png,t11_forlornacorn.png,
Amulets,Accessories,Amulet,accessory_amulet,t11,monsoonheart,accessory_amulet_t11_monsoonheart.png,src/assets/Items/Amulets/accessory_amulet_t11_monsoonheart.png,t11_monsoonheart.png,
Amulets,Accessories,Amulet,accessory_amulet,t12,eternalhourglass,accessory_amulet_t12_eternalhourglass.png,src/assets/Items/Amulets/accessory_amulet_t12_eternalhourglass.png,t12_eternalhourglass.png,
Amulets,Accessories,Amulet,accessory_amulet,t12,fairywreath,accessory_amulet_t12_fairywreath.png,src/assets/Items/Amulets/accessory_amulet_t12_fairywreath.png,t12_fairywreath.png,
Amulets,Accessories,Amulet,accessory_amulet,t12,gamepadmini,accessory_amulet_t12_gamepadmini.png,src/assets/Items/Amulets/accessory_amulet_t12_gamepadmini.png,t12_gamepadmini.png,
Amulets,Accessories,Amulet,accessory_amulet,t12,opulentcarcanet,accessory_amulet_t12_opulentcarcanet.png,src/assets/Items/Amulets/accessory_amulet_t12_opulentcarcanet.png,t12_opulentcarcanet.png,
Amulets,Accessories,Amulet,accessory_amulet,t12,titania_keepsake,accessory_amulet_t12_titania_keepsake.png,src/assets/Items/Amulets/accessory_amulet_t12_titania_keepsake.png,t12_titania_keepsake.png,
Amulets,Accessories,Amulet,accessory_amulet,t13,bleakspirecharm,accessory_amulet_t13_bleakspirecharm.png,src/assets/Items/Amulets/accessory_amulet_t13_bleakspirecharm.png,t13_bleakspirecharm.png,
Amulets,Accessories,Amulet,accessory_amulet,t13,charlatan_amulet,accessory_amulet_t13_charlatan_amulet.png,src/assets/Items/Amulets/accessory_amulet_t13_charlatan_amulet.png,t13_charlatan_amulet.png,
